,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Change
A1BG,15.2892380324785,-0.0812985719753686,0.173993869692532,-0.467249634248799,0.640321286283221,0.698594913224172,NS
A2M,8478.59607113187,0.870225573704594,0.133064855598233,6.53986035450334,6.1576301923787e-11,5.06592261949777e-10,NS
A2ML1,207.991998933319,-0.603683549342761,0.198044349471304,-3.04822405160433,0.00230198225161995,0.00465617145274705,NS
A2MP1,36.8241492398226,-0.666033145436756,0.135084099566419,-4.93050734745637,8.2016331660804e-07,3.21878408007294e-06,NS
A3GALT2,12.1305019346215,-0.0915347358333576,0.252195545496411,-0.362951437755113,0.716641161161873,0.765801140749146,NS
A4GALT,229.622940091917,0.403601283060758,0.158336086440952,2.54901641270054,0.0108027216116246,0.0188974864963778,NS
AAAS,1658.70253276385,-0.363197521559139,0.0814212607622496,-4.46072092422736,8.16844040433991e-06,2.64598133393026e-05,NS
AACS,848.213354971405,-0.501646065775987,0.118471669864623,-4.23431244236882,2.29252026564562e-05,6.85307347181578e-05,NS
AADAT,424.618679774005,0.120166192514603,0.100310102084588,1.1979470663211,0.230937624958896,0.293224306033542,NS
AAED1,219.502370955863,0.447454559715013,0.0830276164335553,5.38922564485636,7.07619147340567e-08,3.336065640323e-07,NS
AAGAB,701.774100082702,-0.0311028129345249,0.096706214078509,-0.321621658244989,0.747739334045969,0.792200565905239,NS
AAK1,830.729113373787,-0.424774065769917,0.194709155682836,-2.18158239287851,0.0291403675113037,0.0464825516355622,NS
AAMDC,114.426000322124,-0.517788567172169,0.0875346312033053,-5.91524245951947,3.31387055923985e-09,2.00487316129635e-08,NS
AAMP,3826.40433413139,-0.643613214400789,0.068820310324759,-9.3520824210704,8.59387636449384e-21,6.45813894205852e-19,NS
AANAT,54.6781171208922,-0.931648608508781,0.211537547072623,-4.40417609734756,1.06186663293239e-05,3.36973982126268e-05,NS
AAR2,792.409492698036,-0.0448779392033107,0.0669062901996332,-0.670758146497214,0.502374614073792,0.570367541137707,NS
AARS,6785.92183463508,-0.3649155141033,0.0672137540259955,-5.42917918201928,5.66138227827781e-08,2.70918505722304e-07,NS
AARS2,760.57406179494,-0.387193379043164,0.079705176251256,-4.85781974589213,1.18685380083916e-06,4.50222269110103e-06,NS
AARSD1,89.6418988987799,-0.590183604780367,0.150942315150149,-3.90999438555906,9.22982663856387e-05,0.00024792081085085,NS
AASDH,351.308337730724,0.178942371384871,0.0869409554287726,2.05820571561894,0.039570390189282,0.0611953671448576,NS
AASDHPPT,1005.41971125565,0.0315649553139772,0.130081457038237,0.242655302551684,0.808272436014511,0.844428022230002,NS
AASS,867.67109430025,0.22237866707408,0.222572358367558,0.99912976033997,0.317731836153536,0.385745936009289,NS
AATF,1554.81004324818,-0.755972313711097,0.114276541704993,-6.61528868858015,3.70827347342138e-11,3.23442745946136e-10,NS
AATK,4634.54350536212,-0.444207862736719,0.165460456536453,-2.68467688313705,0.00725999557337522,0.0132513491675505,NS
ABAT,6975.9438389808,-0.331953026866373,0.138276062710269,-2.40065431687853,0.0163657886116028,0.0275341501599851,NS
ABCA1,2362.55370883088,0.532177735883995,0.174779399399965,3.04485389989333,0.00232793365638184,0.00469987799880473,NS
ABCA10,61.6305467805522,0.0940776868041678,0.238027423790356,0.395238856540443,0.692666618822884,0.74553255700519,NS
ABCA12,19.9765298511054,0.416764584298498,0.197167262263386,2.11376158249722,0.034535635746357,0.0542096933985946,NS
ABCA13,44.3592819112828,1.10830100394343,0.329446276287181,3.36413273943734,0.000767846032026083,0.0017158145363226,Up
ABCA17P,239.708310008984,-1.54878007798227,0.138028732960455,-11.2207077813718,3.22677479455461e-29,1.13863061880892e-26,Down
ABCA2,17476.4759100021,-0.486244016298981,0.155790852840847,-3.12113328499279,0.00180156474108002,0.00372522278690584,NS
ABCA3,6773.45042184536,-0.677233646240132,0.109008890342993,-6.21264599712225,5.20997347458434e-10,3.61557458056661e-09,NS
ABCA4,30.4378157065252,-0.579263587022032,0.210027156795938,-2.75804136883519,0.00581488384814067,0.0108391358087987,NS
ABCA5,319.965341754033,0.941511869807265,0.21189274273294,4.44334174764024,8.85723098482573e-06,2.85145920955358e-05,NS
ABCA6,67.2902698644509,0.353311762583402,0.238615882217617,1.48067161037161,0.138694102659819,0.187170159159809,NS
ABCA7,1010.70214965201,-0.509915916085119,0.203167226615475,-2.50983352275716,0.0120788090973454,0.020884451349394,NS
ABCA8,653.973684018071,0.513238832813768,0.194263889327581,2.64196724666781,0.00824260264699433,0.0148445057732339,NS
ABCA9,104.439243765597,-0.0225651228093437,0.172321065419601,-0.130948138896413,0.89581633318305,0.916120691748855,NS
ABCB1,542.805696924614,0.180977971040843,0.137779108424344,1.31353710377811,0.189002026744429,0.245725107117431,NS
ABCB10,392.688466159504,-0.174578465871246,0.104213340645752,-1.67520266397259,0.0938944750674851,0.132311408915307,NS
ABCB4,71.340406798968,0.490009344718807,0.172521049979376,2.84028728539146,0.00450729218983981,0.00861240339322893,NS
ABCB6,66.4273345093525,-0.258702484758629,0.173973779548989,-1.48701997179858,0.137009536201047,0.185096861557669,NS
ABCB7,398.755896455342,0.119916314331246,0.0723385918205409,1.65770871831093,0.097376273255211,0.136648367552398,NS
ABCB8,1958.60515967974,-0.443259439274366,0.116359199159448,-3.80940606738763,0.00013930101574682,0.000361665720985666,NS
ABCB9,585.849513179391,-0.658644313567442,0.155229112637601,-4.24304630990915,2.20505909779684e-05,6.61110440994428e-05,NS
ABCC1,789.227299053534,0.388034753101785,0.130905471408324,2.96423632203589,0.00303435161562598,0.00599192158453053,NS
ABCC10,868.28259290419,-0.160791279665942,0.0967097919294015,-1.66261633344553,0.0963892594855639,0.135403761139738,NS
ABCC11,30.3422623703881,-0.229537375070869,0.159532828952338,-1.43880965803876,0.150204459247599,0.200866599316776,NS
ABCC12,32.5873920041217,-1.46860473823365,0.330938241869892,-4.43770030908373,9.09250941486417e-06,2.92025351844233e-05,Down
ABCC2,28.450133062724,-0.097507932323421,0.20548118606615,-0.474534599445181,0.635118731050771,0.694053354373328,NS
ABCC3,365.525716836116,1.57946735704575,0.318039143414236,4.96626717104614,6.82539086533395e-07,2.72010175610363e-06,Up
ABCC4,470.210596729888,-0.267493908476405,0.163620369860695,-1.63484478554931,0.102081589595944,0.142450362831505,NS
ABCC5,2309.78151592867,-0.108291505959397,0.0969754168814621,-1.11669028545417,0.264126772929833,0.329609685812539,NS
ABCC6,116.885420893299,-0.314696515819938,0.147768113012922,-2.12966457650047,0.0331993155105476,0.0523043083924302,NS
ABCC6P1,48.1801099870857,0.0462443488609913,0.205201296088494,0.225360900454782,0.821698526198928,0.854659136054145,NS
ABCC6P2,20.8390623279985,-0.215390278315046,0.192918944316094,-1.11648070166781,0.26421642628817,0.329624200565609,NS
ABCC8,1846.49835367086,-1.92285783253564,0.217632686256959,-8.83533565479829,9.97981510220685e-19,4.66836768700351e-17,Down
ABCC9,326.033179989352,0.226220477620026,0.16230129542875,1.39383038824441,0.163368829296874,0.216403038774838,NS
ABCD1,191.831803230495,0.829992974329689,0.151003381953133,5.49651910834219,3.87361138873941e-08,1.91521352610472e-07,NS
ABCD2,166.708181322608,0.714669487542395,0.181239832034344,3.94322528067103,8.03930715651758e-05,0.000218986463776797,NS
ABCD3,1242.87948384977,0.255308250085652,0.0883692979842461,2.88910578571266,0.00386339081079821,0.00747087915664481,NS
ABCD4,1857.67697749362,-0.399499807414253,0.0960269745464359,-4.16028734947872,3.17847439951057e-05,9.28098515072055e-05,NS
ABCE1,764.434141472903,0.374785509868471,0.107546271408398,3.4848768345046,0.000492363620809753,0.00114696416374626,NS
ABCF1,1131.93899419721,0.342228936747628,0.117389379529652,2.91533133677721,0.00355311099911474,0.00691453036058392,NS
ABCF2,1484.02272792805,-0.0791766247569648,0.0649106545748664,-1.21977855986099,0.22254883116171,0.283593392009489,NS
ABCF3,1950.74658036071,-0.353173065451593,0.0580883156668003,-6.07993296754248,1.20232800623349e-09,7.90129076808986e-09,NS
ABCG1,959.750951819438,-0.216828472749849,0.134456960916895,-1.6126236326572,0.106826300924317,0.148421168929514,NS
ABCG2,984.727856933203,-0.134153482146625,0.130481179427303,-1.0281443096655,0.303881950237637,0.371459584024198,NS
ABCG4,169.625496044757,-0.698410319851144,0.232891164197857,-2.99886997540962,0.00270982925351798,0.00541099132034738,NS
ABCG5,24.5533517805475,-1.34642794643822,0.222082790853839,-6.06272976515481,1.33830421329979e-09,8.72423855031412e-09,Down
ABHD1,74.1635227711833,-0.953998473820727,0.155528468452375,-6.13391543885006,8.5742106117559e-10,5.76778228968180e-09,NS
