,ensembl_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,Change
1,ENSG00000000003.14,3306.72254419528,0.707567145734662,0.057718491681107,12.2589334046349,1.50467332388613e-34,6.40602875778633e-34,TSPAN6,NS
2,ENSG00000000005.5,19.5372231731326,2.74299155412308,0.175533257071413,15.6266202763339,4.79574082387104e-55,4.08434604717389e-54,TNMD,Up
3,ENSG00000000419.12,1004.69934077985,0.571115518286488,0.0299268236303462,19.0837332200992,3.44733281211599e-81,6.9928685767433e-80,DPM1,NS
4,ENSG00000000457.13,669.797318638169,-0.0674976315774597,0.0239675218706683,-2.81621237029365,0.00485935332092167,0.00606362141195385,SCYL3,NS
5,ENSG00000000460.16,376.015568331329,0.782637023015832,0.0529651724287753,14.7764462405608,2.07847273293295e-49,1.47288592975083e-48,C1orf112,NS
6,ENSG00000000938.12,456.86605286175,0.703425084615759,0.0784469426353365,8.96688973444965,3.05005198374096e-19,7.54256192964664e-19,FGR,NS
7,ENSG00000000971.15,1248.00990435641,1.36476538343777,0.127427714232923,10.7101142922735,9.12490904943174e-27,2.9391178700447e-26,CFH,Up
8,ENSG00000001036.13,1605.09489947052,1.25562459273536,0.0821043814231409,15.2930278624749,8.50998310983815e-53,6.73832948326489e-52,FUCA2,Up
9,ENSG00000001084.10,3729.85356375762,-1.00271104864406,0.0594652676027291,-16.8621295937469,8.54537758471486e-64,9.81784893598501e-63,GCLC,Down
10,ENSG00000001167.14,1432.169993522,-0.301218506073588,0.0428380421444554,-7.03156565974327,2.04228716574883e-12,3.92827098060186e-12,NFYA,NS
11,ENSG00000001460.17,311.823671801783,0.227897480650068,0.124190101839313,1.83506960115824,0.0664953774029078,0.0763414431942469,STPG1,NS
12,ENSG00000001461.16,2908.01721853135,-0.635698543726314,0.0962704192200213,-6.60325932801286,4.02215038945941e-11,7.35499422086791e-11,NIPAL3,NS
13,ENSG00000001497.16,2391.63486412695,-0.329954422985289,0.0393736394250072,-8.38008443729809,5.2889746757326e-17,1.21191388435669e-16,LAS1L,NS
14,ENSG00000001561.6,1738.81288705413,-0.693175684463583,0.0826755023868149,-8.38429358699767,5.10312824440832e-17,1.16998271700756e-16,ENPP4,NS
15,ENSG00000001617.11,352.110818368813,1.94551170259555,0.112077122915361,17.3586870539564,1.69556681766365e-67,2.21200281785281e-66,SEMA3F,Up
16,ENSG00000001626.14,56.8859898586964,-1.0743088480415,0.109837671593808,-9.78087783956693,1.3602557856056e-22,3.79126469845062e-22,CFTR,Down
17,ENSG00000001629.9,6519.58079837772,-0.148705566900033,0.0499854043915698,-2.97497977079711,0.00293007869446517,0.00371178293076112,ANKIB1,NS
18,ENSG00000001630.15,5662.16083902684,-0.0261335946015911,0.0607293921866811,-0.43032860466077,0.666956622113777,0.686988769779474,CYP51A1,NS
19,ENSG00000001631.14,1913.173397416,0.210087066482942,0.0451997803329987,4.647966537341,3.35223277304069e-06,4.96229173592598e-06,KRIT1,NS
20,ENSG00000002016.16,547.578655724902,-0.24961586504864,0.0542116795214929,-4.60446655133931,4.13524471761733e-06,6.09761278896292e-06,RAD52,NS
21,ENSG00000002330.13,3141.52218217722,0.144633276585383,0.050502083565483,2.86390711776962,0.00418450693649726,0.0052470723481312,BAD,NS
22,ENSG00000002549.12,5607.87795760864,0.742634508898933,0.0626491954720194,11.8538554773718,2.05513032657772e-32,8.13955441047814e-32,LAP3,NS
23,ENSG00000002586.17,19748.1353807104,0.830350875033499,0.100129328472176,8.29278381972007,1.10628293672075e-16,2.50536696656386e-16,CD99,NS
24,ENSG00000002587.9,960.132118226078,0.342680164763499,0.125646665675589,2.72733194248286,0.0063848772592666,0.00790420516920437,HS3ST1,NS
25,ENSG00000002745.12,59.3176860652101,1.14182203904307,0.22142326482004,5.15673924314627,2.51287356184075e-07,3.93359369561331e-07,WNT16,Up
26,ENSG00000002746.14,710.27792602257,-2.10160106094823,0.134206590852506,-15.6594474801756,2.8637427561657e-55,2.46349146155395e-54,HECW1,Down
27,ENSG00000002822.15,1531.07604850199,-0.0815734655648393,0.0414076959417978,-1.97000735514234,0.0488375276115037,0.0566781741982184,MAD1L1,NS
