,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Change
A1BG,15.2892380324785,0.60171917796258,0.131599076738633,4.57236625723176,4.82247033298528e-06,1.01554668454874e-05,Up
A2M,8478.59607113187,0.519111270285434,0.102050354084128,5.08681498407628,3.64126738141238e-07,8.60586082339629e-07,NS
A2ML1,207.991998933319,0.355070538176199,0.149210836470591,2.37965650870258,0.0173287825470311,0.024121498868314,NS
A2MP1,36.8241492398226,-0.252154740503399,0.106106794015498,-2.37642408144543,0.017481358337349,0.0243192842416738,NS
A3GALT2,12.1305019346215,0.593160241786021,0.190913333329776,3.10696079441146,0.00189021465249785,0.00298230601082281,Up
A4GALT,229.622940091917,0.187528052870172,0.119835414967322,1.56488007256711,0.117611032002972,0.145032460037396,NS
AAAS,1658.70253276385,-0.205754290993943,0.0617725143456728,-3.33083885565289,0.000865847097297311,0.00142482056805859,NS
AACS,848.213354971405,0.118125563923032,0.0904247505988352,1.30634105309385,0.191436602118427,0.227246318598307,NS
AADAT,424.618679774005,-0.3992434957192,0.0737758258997093,-5.41157609352867,6.24724370348296e-08,1.59141964524381e-07,NS
AAED1,219.502370955863,0.384905231700958,0.0629018462178786,6.11914045205809,9.40814539215093e-10,2.85284916879122e-09,NS
AAGAB,701.774100082702,0.708272146926865,0.063966348633024,11.0725742841792,1.70433133906233e-28,2.52645719595066e-27,Up
AAK1,830.729113373787,-0.0713619317243167,0.146767598324624,-0.4862240204168,0.626808342461854,0.66347264524557,NS
AAMDC,114.426000322124,-0.386869464965695,0.067743282330699,-5.7108166545154,1.12435324753075e-08,3.07765630926122e-08,NS
AAMP,3826.40433413139,0.0165472702053974,0.0561549619480837,0.294671559401922,0.768244791277637,0.794024161223725,NS
AANAT,54.6781171208922,0.0254565622726908,0.162055433333322,0.157085521596371,0.875177448010805,0.889520640409202,NS
AAR2,792.409492698036,-0.14312325303003,0.0501867211858197,-2.85181517437863,0.00434703680996754,0.00657115864214873,NS
AARS,6785.92183463508,-0.0188198000815131,0.0520467933521412,-0.361593844104496,0.717655565524579,0.74807251089102,NS
AARS2,760.57406179494,0.480388689207908,0.0569336404834699,8.43769492216793,3.23657080645405e-17,1.901412136459e-16,NS
AARSD1,89.6418988987799,0.569328609063194,0.112615555010161,5.0555059557432,4.29251231679092e-07,1.00647650084932e-06,NS
AASDH,351.308337730724,0.352321222543917,0.0639494384066024,5.50937164301262,3.60116875715162e-08,9.38721234399952e-08,NS
AASDHPPT,1005.41971125565,-0.671866101453426,0.0931035080673067,-7.21633497384135,5.34074051986559e-13,2.1678144565756e-12,Down
AASS,867.67109430025,1.4950014515975,0.152325190232221,9.81453854952262,9.74829675404866e-23,8.899569905046e-22,Up
AATF,1554.81004324818,-0.274995602872429,0.0884374960129663,-3.10949105605738,0.0018740995842492,0.00295860576264667,NS
AATK,4634.54350536212,0.0227674113704532,0.124976634458331,0.182173343594432,0.855446691665135,0.872612353611377,NS
ABAT,6975.9438389808,-0.0512432475816248,0.104320117150523,-0.491211560927275,0.623276822990205,0.660121975125735,NS
ABCA1,2362.55370883088,1.15346463002226,0.120711650644008,9.55553688370933,1.22944785850783e-21,1.02815031629568e-20,Up
ABCA10,61.6305467805522,1.4693528647299,0.166029240165655,8.84996439942663,8.75472182542238e-19,5.80027121103086e-18,Up
ABCA12,19.9765298511054,1.40710064424887,0.136145554220624,10.3352669303374,4.88051409267077e-25,5.295488285577e-24,Up
ABCA13,44.3592819112828,2.52872591080855,0.221864772575142,11.3975999049246,4.29805130149249e-30,7.29769547341278e-29,Up
ABCA17P,239.708310008984,0.0203808876706122,0.113529863079334,0.17952005858027,0.857529368693889,0.874217937481964,NS
ABCA2,17476.4759100021,-0.139523900658297,0.117779124266747,-1.18462334923039,0.236166400934592,0.274881649152197,NS
ABCA3,6773.45042184536,-0.297800256575203,0.083713815994606,-3.55736090915258,0.000374599332837862,0.000644393426306081,NS
ABCA4,30.4378157065252,0.357294888030788,0.159338346563155,2.24236598243581,0.0249377284866869,0.0339133050264663,NS
ABCA5,319.965341754033,0.866163901493902,0.157830290711276,5.48794466252618,4.06637402210854e-08,1.05439909148348e-07,Up
ABCA6,67.2902698644509,1.53465354479909,0.16586717106406,9.25230432854244,2.1970413321159e-20,1.65486658482159e-19,Up
ABCA7,1010.70214965201,-0.199742310151773,0.153101636935282,-1.30463863189266,0.192015927111508,0.227819788675828,NS
ABCA8,653.973684018071,0.318177273308885,0.146259752197068,2.17542603846463,0.0295982050120866,0.0398301885828918,NS
ABCA9,104.439243765597,0.103835013464019,0.130198306917869,0.79751431429534,0.425152392852407,0.468186814164197,NS
ABCB1,542.805696924614,-0.40611485733034,0.102347720411634,-3.96799123318996,7.24809995793248e-05,0.000134504582733692,NS
ABCB10,392.688466159504,0.861869225118313,0.0663822645047968,12.9834260935168,1.51929319319942e-38,4.77929595194051e-37,Up
ABCB4,71.340406798968,0.879998299390765,0.125083326005003,7.03529660984205,1.9883756540273e-12,7.67363614269402e-12,Up
ABCB6,66.4273345093525,0.465643750404953,0.130242124414093,3.57521617909487,0.000349938622730231,0.000604323304587928,NS
ABCB7,398.755896455342,0.124362967896955,0.0547942221679375,2.26963652327792,0.0232296457009306,0.0317260083313005,NS
ABCB8,1958.60515967974,0.0520793131619702,0.0885922820259918,0.587853839758759,0.556630402224128,0.597168782461183,NS
ABCB9,585.849513179391,0.287821059304286,0.117735603185539,2.44463910250419,0.0144997153937604,0.0203668483628945,NS
ABCC1,789.227299053534,0.97235588276647,0.0873751733870585,11.1285144861354,9.11417136769022e-29,1.38781641313647e-27,Up
ABCC10,868.28259290419,0.563506409771406,0.0676073688707857,8.33498506425246,7.75079763742487e-17,4.40206253501331e-16,NS
ABCC11,30.3422623703881,0.542919331463461,0.11971565337392,4.53507387014549,5.7583327897659e-06,1.20512194228314e-05,NS
ABCC12,29.4485770082595,-0.589631084550537,0.245237777985562,-2.40432403764991,0.0162024043179699,0.0226273274446604,NS
ABCC2,28.450133062724,0.470989574245389,0.154987303418204,3.03889134050233,0.00237450481565961,0.00370498530883272,NS
ABCC3,365.525716836116,1.85423573847402,0.231160432475349,8.02142355686997,1.04526623311439e-15,5.41377201528807e-15,Up
ABCC4,470.210596729888,1.07345593669446,0.112191295212254,9.5680857829799,1.08903264658782e-21,9.16390768243313e-21,Up
ABCC5,2309.78151592867,-0.0753267227576123,0.0728550183266491,-1.03392634423453,0.301170598152814,0.342963459324855,NS
ABCC6,116.885420893299,0.189093705835138,0.11186784716296,1.69033114188459,0.0909646204242566,0.114177058361161,NS
ABCC6P1,44.3482406995864,0.18155581192923,0.144482837741646,1.25659085028407,0.208901829611933,0.24600221258422,NS
ABCC6P2,20.8390623279985,-0.600422704525905,0.148879090263903,-4.03295522199655,5.50797781206192e-05,0.000103586485743702,Down
ABCC8,1846.49835367086,-0.754038520286569,0.168689740613808,-4.46997261091791,7.82296144165219e-06,1.61288340049407e-05,Down
ABCC9,326.033179989352,0.262114931134942,0.12176917566054,2.15255568343214,0.0313536146053048,0.0420560393632905,NS
ABCD1,191.831803230495,0.811751140968565,0.111379014545301,7.28818749458773,3.14152583598025e-13,1.2988600960171e-12,Up
ABCD2,166.708181322608,0.393770953805743,0.137766724634096,2.85824428831843,0.00425992298585959,0.00644547631492104,NS
ABCD3,1242.87948384977,0.478324117859024,0.0629465695854976,7.59889094844695,2.9867933199012e-14,1.35764853454596e-13,NS
ABCD4,1857.67697749362,-0.163429850001349,0.0730393110130242,-2.23756012665846,0.0252497542245642,0.0343031478551327,NS
ABCE1,764.434141472903,-0.204635423356055,0.0816240063539783,-2.50704948821814,0.0121743665238019,0.0172890916373012,NS
ABCF1,1131.93899419721,0.174472604065951,0.0887026019450792,1.96693896503709,0.0491902476998458,0.0641330201336464,NS
ABCF2,1484.02272792805,-0.113248318003294,0.048693003691085,-2.3257615965069,0.0200312724237744,0.0276133854762382,NS
ABCF3,1950.74658036071,-0.195875141265193,0.0445295650284271,-4.39876610382673,1.08868080318633e-05,2.20865726750663e-05,NS
ABCG1,959.750951819438,0.569471414500591,0.0975238289229764,5.83930533480546,5.24189243444394e-09,1.47591323496781e-08,NS
ABCG2,984.727856933203,-0.342024004759534,0.0969661392386483,-3.52725196078769,0.00041989697773387,0.00071752476498328,NS
ABCG4,169.625496044757,-0.0180626198133356,0.176334973131239,-0.102433564326983,0.918412543300053,0.928537676913513,NS
ABCG5,22.2503685399573,-0.632261599505244,0.161360794030686,-3.91830991724673,8.91720085565385e-05,0.000163830225567599,Down
ABHD1,74.1635227711833,0.440811079099357,0.119432876869208,3.6908688014113,0.000223489396114079,0.000392861152016864,NS
ABHD10,1000.20378047182,-0.699672501623634,0.0645332848523347,-10.8420407116208,2.17562995393749e-27,2.9331250342453e-26,Down
ABHD11,296.656424915965,-0.177831291858225,0.0757006780534232,-2.34913737143446,0.0188169631069526,0.0260506387541944,NS
ABHD12,4273.99286360115,-0.391821892618852,0.0826244858901351,-4.742200673295,2.11409054798923e-06,4.62105006395922e-06,NS
ABHD12B,78.0668516697283,0.127130977503567,0.162926823071095,0.780294951483168,0.435217283733079,0.478426584691544,NS
ABHD13,300.778729472352,-0.181247399249168,0.0714605757530678,-2.53632716136334,0.011202202516821,0.0159840147022713,NS
ABHD14A,750.297199568618,-1.01076397614976,0.14037213904668,-7.20060250569839,5.99470705989575e-13,2.42416753852087e-12,Down
ABHD14B,722.631839048653,-0.60377100237226,0.116828099436051,-5.16802896980062,2.36575646443492e-07,5.69662645463695e-07,Down
ABHD15,154.7618397514,0.729592980723529,0.0819062651225432,8.90765779189121,5.21219899296986e-19,3.51055659974634e-18,Up
ABHD16B,178.77946142418,-0.10782007857659,0.0900418604490387,-1.19744392262545,0.231133572545805,0.269619845459109,NS
ABHD17A,9941.15886065823,-0.127808394121454,0.0934359065087072,-1.36787236189059,0.171352032271028,0.205192636504856,NS
ABHD17AP4,8.84794736351091,0.129282684862494,0.217128715808689,0.595419561991074,0.55156305263622,0.592402002937281,NS
ABHD17AP6,30.994833114631,0.264763929890897,0.175966916576059,1.50462334081109,0.13242094193979,0.161844494357854,NS
ABHD17B,637.948280537054,0.409433947702532,0.0766235370458525,5.34344880813217,9.11945924456357e-08,2.28225504868572e-07,NS
ABHD17C,566.746593753444,-0.465742986159116,0.0709753362698995,-6.56203986675067,5.30766197972197e-11,1.81033766032459e-10,NS
ABHD2,3300.71595390325,1.31438783680261,0.115241935748931,11.4054647577785,3.92674476979591e-30,6.68823936026518e-29,Up
ABHD3,314.386708383005,0.056982034016544,0.0757745399620207,0.751994456780658,0.452054392325906,0.495392039983399,NS
ABHD4,1438.74709131309,-0.409496369197369,0.0822009547839966,-4.98164979072838,6.30444551425119e-07,1.45463766293284e-06,NS
ABHD5,237.110534025376,0.359264070930064,0.0953084266638816,3.76948905260034,0.000163582083179556,0.000292558877718219,NS
ABHD6,961.717813596968,-0.431199934969796,0.0662686790159701,-6.50684367596766,7.6746201593864e-11,2.5749159658363e-10,NS
ABHD8,1641.82963939374,-0.446967380971355,0.147427014580329,-3.03178750681282,0.00243110278359569,0.00378674411124894,NS
ABI1,2108.93570978504,-0.158777841778475,0.0682604811131215,-2.32605805276039,0.0200154539248708,0.0275962667211844,NS
ABI2,3636.30917437018,-0.336253945489175,0.0536964060249792,-6.26213131159564,3.79750941752724e-10,1.19251640288841e-09,NS
ABI3,557.895238676629,0.0576807574505418,0.129423088592579,0.445675946060286,0.655831342298358,0.690859520292488,NS
ABI3BP,474.215887044405,-0.611422609380553,0.161051147539507,-3.79644987770464,0.000146783023275831,0.000264115068596973,Down
ABL1,2969.66186407835,0.346932477639532,0.0804131334250432,4.3143758098038,1.60054476985038e-05,3.18539022856933e-05,NS
ABL2,1239.7659232481,0.396483743846406,0.0677207715212039,5.85468438915029,4.77916715364261e-09,1.34937278201299e-08,NS
ABLIM1,4773.18343709595,-0.397959900457715,0.0791118448988799,-5.0303453416664,4.89597180574255e-07,1.14051972374875e-06,NS
ABLIM2,669.215434401937,-0.278927631408436,0.132007333230891,-2.11297073110756,0.0346032731105366,0.0461452784365947,NS
ABLIM3,1307.70872842907,-0.439034069708957,0.121580227734338,-3.61106470920813,0.000304942558858957,0.000530130407561164,NS
ABR,6856.40471702024,-0.0163685411918108,0.0735917279041496,-0.222423656271941,0.823984097964618,0.844215734277705,NS
ABRACL,130.509155134128,-0.00109541325686064,0.116736212282128,-0.00938366283645769,0.992513030174358,0.993860055878481,NS
ABT1,197.09166595667,0.265659693955684,0.0958330999400924,2.7721079055332,0.00556945709785197,0.00830684807611257,NS
ABTB1,1922.91073524134,-0.208254008142685,0.13553704003428,-1.5365099318239,0.124413363807158,0.152782396831426,NS
ABTB2,720.298639858991,0.54940116714748,0.0981923712157122,5.5951512357364,2.20429536527061e-08,5.87715544827078e-08,NS
ACAA1,1403.57532539131,0.088751662779233,0.0664477773094143,1.3356603692846,0.181660308408791,0.216689456649874,NS
ACAA2,467.916137474843,0.0118289256530822,0.106174537302637,0.111410192628062,0.9112910778319,0.922224972135782,NS
ACACA,2592.33457671278,0.261412300500522,0.0623200092056899,4.19467685952547,2.73260868901206e-05,5.29746855846695e-05,NS
ACACB,806.02934140276,0.833060293423733,0.120678821347603,6.90311923932525,5.08728924693248e-12,1.89092922043068e-11,Up
