"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_CC_FAT","cell surface","12.80%","129","871","692","12285","3.38e-25","9.78e-23","2.63","2.58e-22","9.11e-23","1.13e-25"
"GOTERM_CC_FAT","extracellular matrix","10.02%","101","871","461","12285","3.84e-25","9.78e-23","3.09","2.93e-22","9.11e-23","1.05e-25"
"GOTERM_CC_FAT","external encapsulating structure","10.02%","101","871","461","12285","3.84e-25","9.78e-23","3.09","2.93e-22","9.11e-23","1.05e-25"
"GOTERM_CC_FAT","collagen-containing extracellular matrix","8.63%","87","871","359","12285","8.30e-25","1.58e-22","3.42","6.33e-22","1.48e-22","1.99e-25"
"GOTERM_BP_FAT","tissue development","19.54%","197","916","1404","13091","4.73e-23","3.35e-19","2.01","3.35e-19","3.06e-19","2.18e-23"
"GOTERM_MF_FAT","extracellular matrix structural constituent","5.06%","51","869","145","12202","3.51e-22","5.39e-19","4.94","5.39e-19","5.24e-19","5.01e-23"
"GOTERM_BP_FAT","signal transduction","37.50%","378","916","3564","13091","8.96e-22","3.17e-18","1.52","6.33e-18","2.90e-18","5.68e-22"
"GOTERM_BP_FAT","regulation of cell adhesion","11.71%","118","916","674","13091","4.56e-21","1.07e-17","2.50","3.22e-17","9.83e-18","1.62e-21"
"GOTERM_BP_FAT","cell surface receptor signaling pathway","21.33%","215","916","1663","13091","9.48e-21","1.68e-17","1.85","6.70e-17","1.53e-17","4.81e-21"
"GOTERM_BP_FAT","regulation of immune system process","17.56%","177","916","1269","13091","2.67e-20","3.77e-17","1.99","1.89e-16","3.45e-17","1.24e-20"
"GOTERM_BP_FAT","signaling","38.89%","392","916","3837","13091","1.09e-19","1.10e-16","1.46","7.67e-16","1.01e-16","7.18e-20"
"GOTERM_BP_FAT","cell communication","39.19%","395","916","3876","13091","1.09e-19","1.10e-16","1.46","7.71e-16","1.01e-16","7.24e-20"
"GOTERM_BP_FAT","positive regulation of multicellular organismal process","18.35%","185","916","1377","13091","1.84e-19","1.62e-16","1.92","1.30e-15","1.49e-16","8.92e-20"
"GOTERM_BP_FAT","positive regulation of immune system process","12.60%","127","916","798","13091","4.54e-19","3.56e-16","2.27","3.21e-15","3.26e-16","1.81e-19"
"GOTERM_BP_FAT","immune system process","19.64%","198","916","1545","13091","1.44e-18","1.02e-15","1.83","1.02e-14","9.33e-16","7.39e-19"
"GOTERM_BP_FAT","cell adhesion","12.40%","125","916","795","13091","2.45e-18","1.58e-15","2.25","1.73e-14","1.44e-15","9.90e-19"
"GOTERM_CC_FAT","extracellular region","31.45%","317","871","2951","12285","1.03e-17","1.58e-15","1.52","7.88e-15","1.47e-15","6.55e-18"
"GOTERM_BP_FAT","extracellular matrix organization","5.95%","60","916","239","13091","3.05e-18","1.80e-15","3.59","2.16e-14","1.64e-15","6.88e-19"
"GOTERM_BP_FAT","extracellular structure organization","5.95%","60","916","240","13091","3.77e-18","1.91e-15","3.57","2.67e-14","1.74e-15","8.56e-19"
"GOTERM_BP_FAT","external encapsulating structure organization","5.95%","60","916","240","13091","3.77e-18","1.91e-15","3.57","2.67e-14","1.74e-15","8.56e-19"
"GOTERM_BP_FAT","tube development","12.30%","124","916","798","13091","8.90e-18","4.19e-15","2.22","6.29e-14","3.84e-15","3.64e-18"
"GOTERM_BP_FAT","positive regulation of cell population proliferation","11.71%","118","916","753","13091","3.31e-17","1.46e-14","2.24","2.34e-13","1.34e-14","1.34e-17"
"GOTERM_BP_FAT","blood vessel development","8.53%","86","916","462","13091","4.46e-17","1.85e-14","2.66","3.15e-13","1.70e-14","1.47e-17"
"GOTERM_BP_FAT","vasculature development","8.73%","88","916","482","13091","6.30e-17","2.47e-14","2.61","7.85e-13","2.26e-14","2.13e-17"
"GOTERM_BP_FAT","tube morphogenesis","10.12%","102","916","612","13091","9.92e-17","3.69e-14","2.38","7.85e-13","3.38e-14","3.74e-17"
"GOTERM_BP_FAT","regulation of multicellular organismal development","15.77%","159","916","1183","13091","2.27e-16","8.01e-14","1.92","1.57e-12","7.34e-14","5.62e-17"
"GOTERM_BP_FAT","circulatory system development","12.20%","123","916","816","13091","2.46e-16","8.27e-14","2.15","1.57e-12","7.57e-14","5.72e-17"
"GOTERM_BP_FAT","regulation of cell population proliferation","17.06%","172","916","1357","13091","2.60e-15","8.36e-13","1.81","1.80e-11","7.65e-13","1.38e-15"
"GOTERM_BP_FAT","epithelium development","12.20%","123","916","859","13091","1.15e-14","3.53e-12","2.05","8.08e-11","3.23e-12","4.97e-15"
"GOTERM_CC_FAT","external side of plasma membrane","6.05%","61","871","293","12285","3.73e-14","4.74e-12","2.94","2.85e-11","4.42e-12","1.07e-14"
