"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_CC_DIRECT","extracellular region","20.04%","202","963","1324","13785","2.60e-28","1.61e-25","2.18","1.61e-25","1.53e-25","1.08e-28"
"GOTERM_CC_DIRECT","collagen-containing extracellular matrix","7.94%","80","963","316","13785","1.98e-24","6.14e-22","3.62","1.23e-21","5.82e-22","4.40e-25"
"GOTERM_CC_DIRECT","extracellular space","16.17%","163","963","1035","13785","4.65e-24","9.62e-22","2.25","2.89e-21","9.13e-22","1.87e-24"
"GOTERM_MF_DIRECT","extracellular matrix structural constituent","4.07%","41","939","108","13590","1.01e-19","1.15e-16","5.49","1.15e-16","1.13e-16","1.24e-20"
"GOTERM_CC_DIRECT","cell surface","8.93%","90","963","493","13785","2.68e-17","4.16e-15","2.61","1.66e-14","3.94e-15","9.02e-18"
"GOTERM_CC_DIRECT","plasma membrane","36.31%","366","963","3742","13785","2.49e-14","2.61e-12","1.40","1.54e-11","2.48e-12","1.75e-14"
"GOTERM_CC_DIRECT","external side of plasma membrane","5.95%","60","963","286","13785","2.52e-14","2.61e-12","3.00","1.57e-11","2.48e-12","7.16e-15"
"GOTERM_CC_DIRECT","basement membrane","2.88%","29","963","91","13785","9.14e-12","8.11e-10","4.56","5.68e-9","7.69e-10","1.48e-12"
"GOTERM_BP_DIRECT","cell adhesion","7.14%","72","918","425","13136","3.40e-12","1.17e-8","2.42","1.39e-8","1.14e-8","1.25e-12"
"GOTERM_BP_DIRECT","collagen fibril organization","2.38%","24","918","61","13136","5.73e-12","1.17e-8","5.63","2.34e-8","1.14e-8","6.76e-13"
"GOTERM_MF_DIRECT","integrin binding","3.47%","35","939","138","13590","4.09e-11","2.34e-8","3.67","4.67e-8","2.29e-8","8.93e-12"
"GOTERM_BP_DIRECT","immune response","4.96%","50","918","249","13136","2.47e-11","3.35e-8","2.87","1.01e-7","3.28e-8","7.34e-12"
"GOTERM_BP_DIRECT","extracellular matrix organization","3.47%","35","918","138","13136","5.49e-11","5.60e-8","3.63","2.24e-7","5.48e-8","1.21e-11"
"GOTERM_BP_DIRECT","angiogenesis","4.56%","46","918","226","13136","1.08e-10","8.82e-8","2.91","4.41e-7","8.63e-8","3.16e-11"
"GOTERM_CC_DIRECT","extracellular matrix","3.67%","37","963","179","13785","6.12e-9","4.75e-7","2.96","3.80e-6","4.51e-7","1.76e-9"
"GOTERM_BP_DIRECT","cell division","5.75%","58","918","349","13136","1.20e-9","7.26e-7","2.38","4.91e-6","7.10e-7","4.52e-10"
"GOTERM_BP_DIRECT","inflammatory response","5.36%","54","918","313","13136","1.25e-9","7.26e-7","2.47","5.08e-6","7.10e-7","4.50e-10"
"GOTERM_CC_DIRECT","focal adhesion","5.95%","60","963","405","13785","4.82e-8","2.99e-6","2.12","2.99e-5","2.83e-6","2.09e-8"
"GOTERM_CC_DIRECT","collagen trimer","2.28%","23","963","85","13785","5.29e-8","2.99e-6","3.87","3.28e-5","2.83e-6","1.07e-8"
