,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Change
A1BG,15.2892380324785,-0.168517907539153,0.144230833656417,-1.16839030370296,0.242649364335909,0.300662937549655,NS
A2M,8478.59607113187,0.866739644368637,0.107339606358812,8.07474215501889,6.76193805714211e-16,1.32881087825098e-14,Up
A2ML1,207.991998933319,-0.725148501053903,0.161904074183496,-4.4788774137459,7.50366076246303e-06,2.3297517501205e-05,Down
A2MP1,36.8241492398226,-0.518053559122418,0.111370016074038,-4.65164303090357,3.29300752043937e-06,1.09308994011803e-05,NS
A3GALT2,12.1305019346215,-0.117845878661996,0.20863770143003,-0.564835012340844,0.572185990037992,0.632420195444416,NS
A4GALT,229.622940091917,0.478020597185491,0.129667125775718,3.68652111570911,0.000227340586484128,0.00053942294983341,NS
AAAS,1658.70253276385,-0.276787828640685,0.0673361728236741,-4.11053698233607,3.94740048663509e-05,0.000108014505561465,NS
AACS,848.213354971405,-0.235197386015466,0.0988363048802603,-2.37966591628862,0.0173283402036004,0.0281809055390084,NS
AADAT,424.618679774005,0.0676968765807804,0.08286242160658,0.816979220112542,0.413940303318227,0.479112878170383,NS
AAED1,219.502370955863,0.358288780981027,0.0688461979719674,5.20419124854089,1.94843270118901e-07,8.01494161320325e-07,NS
AAGAB,701.774100082702,-0.0730980507381953,0.0797320051032895,-0.916796845175282,0.359249106119428,0.423757829411421,NS
AAK1,830.729113373787,-0.340882869055352,0.160605066198987,-2.12249138288703,0.0337964955576289,0.0518658141147237,NS
AAMDC,114.426000322124,-0.406244259224419,0.0723860864729048,-5.61218707930125,1.99785273791913e-08,9.7678149523805e-08,NS
AAMP,3826.40433413139,-0.526960259318924,0.056649963988539,-9.30204049954092,1.37775771358515e-20,6.2468612309816e-19,NS
AANAT,54.6781171208922,-0.763225107516298,0.174209972072668,-4.38106440426922,1.18100953117818e-05,3.54281033267125e-05,Down
AAR2,792.409492698036,-0.0135845318893278,0.0552383533761042,-0.245925721153092,0.805739732561884,0.837954005670596,NS
AARS,6785.92183463508,-0.324128294101636,0.0551135118028897,-5.88110398881606,4.07539010531623e-09,2.26857792145038e-08,NS
AARS2,760.57406179494,-0.282609612915795,0.0660774276600911,-4.27694634799598,1.89474444327612e-05,5.48617406408455e-05,NS
AARSD1,89.6418988987799,-0.685457984088105,0.122784522971638,-5.5826090088442,2.36937007409523e-08,1.14395047717768e-07,Down
AASDH,351.308337730724,0.118588464522227,0.0719161606539938,1.64898214036737,0.0991512936244191,0.136380289645926,NS
AASDHPPT,1005.41971125565,0.12357738341436,0.107141794960354,1.15340034633625,0.248746099400343,0.307442829929671,NS
AASS,867.67109430025,-0.129914552396869,0.183679012060845,-0.707291219281133,0.479385521097575,0.543506724764674,NS
AATF,1554.81004324818,-0.516006877700278,0.0953144288298771,-5.41373309408671,6.17241521854855e-08,2.78152814623765e-07,NS
