,0
0,NDUFA1
1,PNCK
2,TOMM7
3,HIGD2A
4,MTND4P12
5,SYN2
6,GJB6
7,IGIP
8,FUT9
9,SLC25A48
10,GABRG1
11,LMTK3
12,BEX2
13,KCNIP2
14,DDX25
15,MT1G
16,TMEM100
17,SLC15A2
18,ALDH2
19,RAB3C
20,CORO6
21,BRICD5
22,C19orf77
23,RPL37
24,FAM181B
25,KRT17P1
26,B3GAT2
27,ETNPPL
28,RPS13
29,CPNE9
30,CYP46A1
31,RAPGEF4
32,DMTN
33,FSTL5
34,RIPPLY2
35,MARCH11
36,MRPS26
37,TTC9B
38,CACNG3
39,LRIT2
40,DUSP26
41,MIR3682
42,MARCH4
43,TPTE2P3
44,APOM
45,LMO3
46,HSF4
47,RUNDC3A
48,NPIPB6
49,NEUROD2
50,SYNGR3
51,RAB3A
52,OVGP1
53,ABCC8
54,KCTD4
55,NPIPB7
56,IGSF1
57,PEA15
58,PART1
59,ATP5J
60,CAMKV
61,AKR1C1
62,BMP2
63,FXYD6
64,IQSEC3
65,CDIP1
66,RPS18
67,RLTPR
68,STYK1
69,RPL19
70,SNAP91
71,CUEDC2
72,TNNI3K
73,STOX1
74,HDDC2
75,SMIM18
76,SFRP2
77,ST8SIA3
78,HHATL
79,IL12A
80,SEMA6B
81,CELF4
82,COA3
83,TSPAN7
84,CEND1
85,NAPB
86,CASQ1
87,RPL7A
88,YPEL3
89,TUBG2
90,SERP2
91,FKBP1B
92,FABP6
93,PDCL3P4
94,CRYAB
95,LINC00515
96,TMEM59L
97,FAM19A1
98,MTND1P23
99,MLST8
100,SEPT4
101,RND1
102,UQCRB
103,UBL5
104,PCAT6
105,VAMP2
106,PAQR6
107,HMGN2P15
108,HAR1A
109,CABP1
110,DNPH1
111,SNHG6
112,RPL26P30
113,HRSP12
114,CCDC84
115,LINC00844
116,PAK6
117,LINC00263
118,COX20P1
119,RPS27
120,GLUD1
121,HPCAL4
122,VIP
123,GOLGA6L2
124,RPL6
125,FAM133A
126,TCEAL5
127,SCD
128,MGAT4C
129,NECAB2
130,CAMK2A
131,GRIA4
132,MAL
133,MTRNR2L2
134,GABRA5
135,WNT10B
136,OLIG1
137,CKMT1B
138,JPH3
139,HTR2A
140,SMDT1
141,IGFL4
142,USH1C
143,DGCR9
144,DXO
145,TMEM155
146,AKR1C3
147,PIANP
148,RPS8
149,CNRIP1
150,TMA7
151,ALDOC
152,CACNG2
153,MRPL43
154,NPPA
155,CDKN2D
156,CHRM1
157,LINC00693
158,ATP5L
159,PCSK2
160,PPP4R4
161,NPIPB9
162,PACSIN1
163,GAS5
164,PANX2
165,NTSR2
166,ADHFE1
167,FBLL1
168,CHCHD1
169,CRIPAK
170,HES6
171,LCN15
172,ACTL6B
173,IL17D
174,SLC14A1
175,SNCB
176,CKMT1A
177,PSD
178,WBP2
179,CAMSAP3
180,NPY
181,TFAP2E
182,TBR1
183,FAM110B
184,AKR1C2
185,CHGB
186,BEX1
187,RPL23
188,INA
189,CHN1
190,RPRM
191,RPL11
192,LAGE3
193,TESPA1
194,RPS27A
195,F5
196,ID1
197,PDE2A
198,IGFN1
199,RPS6
200,LINC00906
201,CCK
202,CAB39L
203,NSG2
204,PARD6A
205,CERCAM
206,CHCHD10
207,KCTD16
208,RAB41
209,CDK5R2
210,PPIF
211,RPL31
212,CRYM
213,FSD1
214,ACY3
215,USMG5
216,NRGN
217,CLEC9A
218,SYN1
219,PNMA3
220,SH3GL2
221,DHRS9
222,PLGLB1
223,CDH9
224,CYP2E1
225,TDRP
226,USP27X
227,TPTEP1
228,RHBDL1
229,LRTM2
230,SCG3
231,KLRC2
232,DDN
233,IGSF21
234,C6orf3
235,ADCY8
236,RGCC
237,C1orf115
238,BID
239,PRAF2
240,FAM57B
241,SERPINI2
242,CA11
243,GGTA1P
244,SERHL
245,HLF
246,SELL
247,TUBA4A
248,SLCO1A2
249,SCRT2
250,DACH2
251,RPS25
252,HPCA
253,MRPL41
254,PWAR6
255,SLC25A28
256,SST
257,LINC00698
258,TCEAL2
259,NPIPP1
260,DRAP1
261,COX8A
