,0
0,WDR16
1,RAB36
2,BUB1
3,MKI67
4,ELF4
5,NTNG1
6,OASL
7,TMEM71
8,CA9
9,TRPC6
10,DNAAF3
11,ZBTB9
12,C6orf141
13,FBN2
14,EPHA2
15,NAMPT
16,MYBL2
17,GVINP1
18,LILRB1
19,CD4
20,HPS3
21,ECE1
22,SOCS3
23,HSPA6
24,ZNF185
25,ANKRD18DP
26,CXCL9
27,CD163L1
28,GALNT3
29,LATS2
30,SHC1
31,SLC4A2
32,FYB
33,KIAA0101
34,NCAPG2
35,MELK
36,ZNF367
37,HJURP
38,PDLIM1
39,TRABD2B
40,LIF
41,KIRREL
42,ACADL
43,ICAM1
44,EFNB1
45,DPEP1
46,VGLL4
47,VDR
48,MAFF
49,TENM3
50,TFEC
51,NEK2
52,COL12A1
53,SWAP70
54,TUBA1C
55,TCTEX1D1
56,COL3A1
57,FAM101B
58,SAMD9
59,HSPG2
60,LAMB1
61,SAMD9L
62,DUSP5
63,SPAG6
64,NABP1
65,SEL1L3
66,HEATR1
67,ANXA2P2
68,KCNE1L
69,CELSR1
70,TLR1
71,NGFR
72,PITX1
73,LNX1
74,IFNGR2
75,GGACT
76,IGFBP3
77,IL2RB
78,MAGT1
79,HGD
80,FN1
81,GPRC5A
82,LINC00327
83,VAX1
84,STEAP4
85,SLC16A3
86,SHCBP1
87,TEKT1
88,SASH3
89,GAS1
90,TOB2P1
91,KANK2
92,LAMA2
93,DENND2D
94,ZNF436
95,IL15RA
96,PTGFRN
97,MCOLN3
98,CYP27B1
99,EYA4
100,PXDNL
101,RRM2
102,PRF1
103,FAM129A
104,FAM109B
105,TRIB2
106,SIRPAP1
107,IQGAP3
108,KDELR3
109,F2RL2
110,SLC26A10
111,SERPINH1
112,CENPF
113,MYBL1
114,UBXN10
115,C8orf4
116,FOXM1
117,COL4A1
118,FAM78B
119,VAV3
120,MYO1B
121,ADM2
122,ARHGAP18
123,CCR7
124,TMEM2
125,NTN1
126,PABPC4L
127,SLC2A10
128,KLHL14
129,PCDHGA4
130,FAT4
131,CCDC37
132,MX2
133,HFE
134,FAM65C
135,TNFRSF19
136,EBF2
137,LCTL
138,HOXD9
139,MEIS1
140,GAS2L3
141,CNR1
142,F13A1
143,STC1
144,P2RY6
145,SOCS2
146,PTPRC
147,ZNF468
148,LRRC37A6P
149,PRC1
150,BRIP1
151,PLEK
152,ZNF28
153,THBS1
154,APOBEC3G
155,ITGA4
156,BRCA2
157,NUAK2
158,TNFAIP6
159,ACTA2
160,ARHGAP20
161,SH2D4A
162,GPC6
163,DKK2
164,TEAD2
165,EVC
166,DEXI
167,IQGAP2
168,OLFML1
169,CENPN
170,LINC00475
171,ADAM9
172,RAG1
173,SPRED1
174,CSF2RB
175,EPSTI1
176,SLAMF6
177,RGS16
178,TRIM5
179,NEK5
180,BVES
181,CXCR4
182,TNFAIP3
183,SFRP4
184,TNFSF14
185,ARHGEF19
186,SOD2
187,KIF20B
188,WDHD1
189,ITGB1
190,FOXJ1
191,CP
192,LHX4
193,C17orf72
194,ASB5
195,P2RY2
196,MFAP4
197,CA3
198,TTYH3
199,ACSS3
200,ADAM12
201,RIBC2
202,CASS4
203,FAM46A
204,SLC26A7
205,HMOX1
206,SLC5A9
207,H19
208,LINC00865
209,CES1
210,ROR2
211,STEAP3
212,DSE
213,CTDSP2
214,GPR126
215,ITGA10
216,CNPY1
217,KIF18B
218,MSR1
219,ITGB8
220,AKAP12
221,CMYA5
222,SCN7A
223,RGS6
224,ACTN1
225,NFE2L3
226,CD96
227,GLI1
228,OSBPL10
229,PDIA5
230,NOTCH3
231,CDC20
232,PLAT
233,METTL21B
234,CLSPN
235,LMNB1
236,PDLIM3
237,CD300C
238,FBLIM1
239,S1PR3
240,MXRA5
241,EN2
242,CTHRC1
243,FGFRL1
244,TFCP2L1
245,NEDD9
246,GPR133
247,TNFSF15
248,RUNX3
249,ARHGAP11A
250,ZC3H12A
251,SDC1
252,GBP1P1
253,FOXD2
254,OSM
255,SRGAP2B
256,NID2
257,HS3ST3B1
258,CCNA2
259,CCNYL2
260,SFRP1
261,AOX1
262,LRIG3
263,PLAUR
264,VCL
265,DSC2
266,XRCC6BP1
267,ORAI1
268,C3orf67
269,SERINC2
270,SPRED3
271,ROPN1L
272,RAC2
273,GLIS3
274,IGFBP5
275,SIGLEC9
276,MFAP2
277,MPZL3
278,DMRT2
279,WDR63
280,CYP39A1
281,FGFR1
282,GPR89A
283,VSX1
284,EXO1
285,LTF
286,HSPA7
287,INHBA
288,AHR
289,CMPK2
290,IER3
291,PIK3AP1
292,SPATA17
293,BCAT1
294,TRIM6
295,KIAA0040
296,FGL2
297,FAM110C
298,SMC4
299,FGFBP2
300,OIP5
301,KIF26B
302,IL1RAP
303,COL1A1
304,APOL6
305,NEIL3
306,CCL5
307,IL13RA2
308,MEIS3P1
309,TMEM140
310,RBM43
311,CDCA8
312,DCHS1
313,PLOD2
314,C11orf63
315,SRGAP2C
316,CDKN2C
317,EIF4HP1
318,CLEC12A
319,CIITA
320,SLC10A4
321,HSPB7
322,MPZL2
323,SLC34A2
324,IL8
325,SH3PXD2B
326,ORC1
327,GLI2
328,PDCD1LG2
329,TAGLN2
330,MCOLN2
331,DMRTA2
332,LAMP3
333,GPR65
334,CDC42P6
335,GDF15
336,TOP2A
337,C9orf47
338,ACLY
339,APOL4
340,GNS
341,ADAM19
342,KLHDC8A
343,ADAMTS2
344,PLK4
345,DDX60
346,DHRS13
347,FOXL1
348,C11orf21
349,COL14A1
350,POLQ
351,DOK3
352,SKAP1
353,MAML3
354,GPNMB
355,TIMELESS
356,GRAP
357,TTC26
358,CHAF1B
359,CERS2
360,TXLNB
361,EFNB2
362,FCGR2A
363,ALDH3A1
364,CCNB2
365,KIF14
366,TNFRSF11B
367,SLC25A19
368,GABRE
369,FKBP5
370,IMPA2
371,FAM64A
372,TSPAN31
373,MESDC1
374,KCNA6
375,CDC45
376,PPP1R3B
377,TNFAIP1
378,FOSL1
379,STK32B
380,CCND1
381,CCDC8
382,MIS18BP1
383,MMP9
384,TPI1P2
385,IRS2
386,FZD2
387,METTL1
388,CEP55
389,YAP1
390,FAP
391,NUSAP1
392,ACTG2
393,AGRN
394,IL7R
395,MMP2
396,IGSF3
397,MRC2
398,IGFBP2
399,SHISA3
400,ITPRIPL1
