"sample","stromal","immune","estimate","purity"
"CGGA_1002",-1272.11035945762,-603.617095798888,-1875.72745525651,0.946154998246413
"CGGA_1003",-2000.59591096476,-1223.89584925441,-3224.49176021917,0.99134412511012
"CGGA_1010",-1716.35742881407,-1048.78071258148,-2765.13814139556,0.98024557699204
"CGGA_1012",-464.032148355075,183.68765036518,-280.344497989895,0.845211315462561
"CGGA_1014",-1214.14480227462,-363.833212971551,-1577.97801524617,0.931107665016859
"CGGA_1017",-1532.19259948258,-1234.69726643792,-2766.88986592051,0.980296401411352
"CGGA_1018",-2030.92680658036,-1150.0914118847,-3181.01821846505,0.990486136163946
"CGGA_103",-1879.10218814204,-993.10950190635,-2872.21169004839,0.983232982640085
"CGGA_1030",-1844.30865308397,-1388.43836437535,-3232.74701745932,0.991502490196559
"CGGA_1032",-15.4557325936373,1327.92247121473,1312.46673862109,0.698396228966921
"CGGA_1033",-1613.46476077992,-1218.78512848661,-2832.24988926653,0.982146398429972
"CGGA_1036",-782.277969588846,484.218324854974,-298.059644733871,0.846598182148794
"CGGA_1037",-1438.95769847966,-285.688446455663,-1724.64614493532,0.938743928954193
"CGGA_1041",-1352.0103728061,-766.733013939473,-2118.74338674557,0.957098126733107
"CGGA_1048",-1205.30656170339,-140.220064466723,-1345.52662617011,0.918122602897378
"CGGA_1051",-1500.56238109662,-1080.44895025393,-2581.01133135055,0.974542567775935
"CGGA_1055",-1458.25111225532,-176.339465471453,-1634.59057772677,0.934106531476136
"CGGA_1057",-137.272575886136,1552.66970780335,1415.39713191722,0.687503252725387
"CGGA_1058",-811.256388683089,218.927684223309,-592.32870445978,0.868791288774525
"CGGA_106",-166.857341248349,1405.13743764182,1238.28009639347,0.706148574417299
"CGGA_1063",-1816.95548413047,-849.871165257208,-2666.82664938767,0.977289386268201
"CGGA_1065",-2127.83607042503,-1322.71822227497,-3450.5542927,0.995154186597384
"CGGA_1066",-1130.47730214816,155.307163595689,-975.170138552468,0.895232540359987
"CGGA_1069",556.557832252221,1872.99307078534,2429.55090303756,0.572194528993072
"CGGA_107",-860.347291131425,-238.285242571705,-1098.63253370313,0.903160615699573
"CGGA_1075",-329.883131736851,1147.53176669075,817.648634953904,0.748493760959134
"CGGA_108",-549.85705256065,613.246813250175,63.3897606895252,0.81718168075079
"CGGA_1082",-1431.38139069302,-308.415362153178,-1739.79675284619,0.939508008796437
"CGGA_1086",5.54134509128942,791.130999012349,796.672344103639,0.750532073823908
"CGGA_1087",-2149.21810624593,-1333.33076536322,-3482.54887160915,0.995604995000946
"CGGA_1097",-1408.99024694955,-391.40544897202,-1800.39569592157,0.942517652683378
"CGGA_1100",-2060.8421986235,-1311.48013649259,-3372.32233511609,0.993959456493997
"CGGA_1101",-1567.16732758106,-1205.51398591847,-2772.68131349953,0.980463972696514
"CGGA_1103",-1305.90631281286,-640.350054773937,-1946.25636758679,0.949455588135497
"CGGA_1106",-594.283170832554,627.572981678184,33.2898108456302,0.819720330176544
"CGGA_1108",-848.582549305288,862.925018672606,14.3424693673184,0.821310157505969
"CGGA_1111",-753.210365939412,496.267649698171,-256.94271624124,0.843370498711641
"CGGA_112",-1593.8656057403,-622.681059241198,-2216.54666498149,0.961159317819424
"CGGA_1120",-1355.74016043366,-924.901889342628,-2280.64204977628,0.963713418898075
"CGGA_1121",-1651.10602718993,-397.487238946093,-2048.59326613602,0.954063673196687
"CGGA_1126",-1448.22415573822,-149.605122021528,-1597.82927775975,0.932166552140797
"CGGA_1127",-1171.71010991374,87.0025185541415,-1084.70759135959,0.902281226069147
"CGGA_1130",-817.13133420179,-53.6230404931309,-870.754374694921,0.888297946828808
"CGGA_1131",-1921.66677735638,-913.908956537442,-2835.57573389383,0.982238119821927
"CGGA_1132",-1659.95609843997,-173.560898136255,-1833.51699657623,0.94413111600595
